ID,关卡,来源,句子 (用/隔开),优先级(1是最优先触发),必须包含 (用空格隔开),不能包含 (用逗号隔开),地球恐慌度,地球傲慢度,外星友好度,准确率,额外反馈（如有）
101,Day 1,外星人,我们/并/不/打算/通过/战争/来/终结/你们的/蚊明,1,战争 终结,不,20,-10,-10,-10,宣战布告
101,Day 1,外星人,我们/并/不/打算/通过/战争/来/终结/你们的/蚊明,2,战争 你们的 蚊明,不,20,-10,-10,-10,宣战布告
101,Day 1,外星人,我们/并/不/打算/通过/战争/来/终结/你们的/蚊明,3,终结 蚊明,不,20,-10,-10,-10,宣战布告
101,Day 1,外星人,我们/并/不/打算/通过/战争/来/终结/你们的/蚊明,4,不 终结 蚊明,,-20,0,15,10,和平意愿
101,Day 1,外星人,我们/并/不/打算/通过/战争/来/终结/你们的/蚊明,5,不 打算 终结,,-20,0,15,10,和平意愿
101,Day 1,外星人,我们/并/不/打算/通过/战争/来/终结/你们的/蚊明,99,DEFAULT,,0,0,0,-15,何意味
102,Day 1,外星人,坍塌的/黑洞/已经/吞噬/了/我们的/家园,1,吞噬 家园,,0,5,10,10,凄惨的难民背景
102,Day 1,外星人,坍塌的/黑洞/已经/吞噬/了/我们的/家园,2,黑洞 吞噬,我们的,10,-15,-5,-10,吹嘘破坏力
102,Day 1,外星人,坍塌的/黑洞/已经/吞噬/了/我们的/家园,99,DEFAULT,,0,0,0,-15,何意味
103,Day 1,外星人,除非/你们/先行/开火/否则/合平/不会/消失,1,合平 消失 开火,不会 除非,20,-20,-10,-10,死亡威胁
103,Day 1,外星人,除非/你们/先行/开火/否则/合平/不会/消失,2,合平 不会 消失,,-20,5,20,10,和平信号
103,Day 1,外星人,除非/你们/先行/开火/否则/合平/不会/消失,3,除非 开火 合平 消失,,-20,5,20,10,和平信号
103,Day 1,外星人,除非/你们/先行/开火/否则/合平/不会/消失,99,DEFAULT,,0,0,0,-15,何意味
105,Day 1,外星人,你们/星球/的/美离/实在/是/让/人/感到/卑微/啊,1,你们 卑微,美离,10,-20,-10,-10,侮辱人类
105,Day 1,外星人,你们/星球/的/美离/实在/是/让/人/感到/卑微/啊,2,美离 感到 卑微,,-10,5,15,10,谦卑访客
105,Day 1,外星人,你们/星球/的/美离/实在/是/让/人/感到/卑微/啊,2,你们 星球 美离,卑微,-10,0,15,10,谦卑访客
105,Day 1,外星人,你们/星球/的/美离/实在/是/让/人/感到/卑微/啊,99,DEFAULT,,0,0,0,-15,何意味
