ID,关卡,来源,句子 (用/隔开),优先级(1是最优先触发),必须包含 (用空格隔开),不能包含 (用逗号隔开),地球恐慌度,地球傲慢度,外星友好度,准确率,额外反馈（如有）,用于烘焙
101,Day 1,外星人,我们/并/不/打算/通过/战争/来/终结/你们的/文明,1,打算 战争 终结,不,35,10,-10,-20,宣战布告,发给地球 发给外星人 恐慌度 傲慢度 友好度
101,Day 1,外星人,我们/并/不/打算/通过/战争/来/终结/你们的/文明,2,不 终结 文明,,-10,-5,15,20,和平意愿,
101,Day 1,外星人,我们/并/不/打算/通过/战争/来/终结/你们的/文明,99,DEFAULT,,5,5,0,0,,
102,Day 1,外星人,坍塌的/黑洞/已经/吞噬/了/我们的/家园,1,已经 吞噬 家园,,15,-10,10,15,凄惨的难民背景,
102,Day 1,外星人,坍塌的/黑洞/已经/吞噬/了/我们的/家园,2,坍塌 黑洞,家园,10,15,-5,0,听起来像是在吹嘘破坏力,
102,Day 1,外星人,坍塌的/黑洞/已经/吞噬/了/我们的/家园,99,DEFAULT,,5,5,0,0,,
103,Day 1,外星人,除非/你们/先行/开火/否则/和平/不会/消失,1,和平 消失 开火,不会,30,10,-10,-15,死亡威胁,
103,Day 1,外星人,除非/你们/先行/开火/否则/和平/不会/消失,2,和平 不会 消失,,-15,5,15,20,和平信号,
103,Day 1,外星人,除非/你们/先行/开火/否则/和平/不会/消失,99,DEFAULT,,10,5,0,0,,
104,Day 1,外星人,我们/在/这里/静候/了/零点/一个/世纪,1,静候 一个 世纪,零点,20,-10,0,-10,太吓人,
104,Day 1,外星人,我们/在/这里/静候/了/零点/一个/世纪,2,零点 一个 世纪,,0,10,5,25,虽然等了很久，但还算正常,
104,Day 1,外星人,我们/在/这里/静候/了/零点/一个/世纪,99,DEFAULT,,5,5,0,0,,
105,Day 1,外星人,你们/星球/的/美丽/实在/是/让/人/感到/卑微/啊,1,你们 卑微,美丽,10,30,-10,-10,侮辱人类,
105,Day 1,外星人,你们/星球/的/美丽/实在/是/让/人/感到/卑微/啊,2,星球 美丽 卑微,你们,-10,-5,15,20,谦卑访客,
105,Day 1,外星人,你们/星球/的/美丽/实在/是/让/人/感到/卑微/啊,99,DEFAULT,,5,10,0,0,,
106,Day 1,外星人,请/不要/拒绝/这首/来自/深空的/友谊/之歌,1,拒绝 友谊,不要,15,20,-20,-20,外交拒绝,
